no,concurrency_type,operation,volume_mb,client_workers,server_workers,total_time,avg_duration_per_client,throughput_per_client,client_success,client_failed,server_success,server_failed
1,multithreading,upload,10,1,1,3.71,3.71,2829567,1,0,1,0
2,multithreading,upload,10,5,1,19.85,4.96,2112806,4,1,4,1
3,multithreading,upload,10,50,1,228.77,4.77,2200129,48,2,48,2
4,multithreading,upload,50,1,1,17.13,17.13,3059985,1,0,1,0
5,multithreading,upload,50,5,1,112.47,28.12,1864591,4,1,4,1
6,multithreading,upload,50,50,1,1372.77,28.6,1833215,48,2,48,2
7,multithreading,upload,100,1,1,36.7,36.7,2856964,1,0,1,0
8,multithreading,upload,100,5,1,214.38,53.59,1956518,4,1,4,1
9,multithreading,upload,100,50,1,2366.12,49.29,2127181,48,2,48,2
10,multithreading,download,10,1,1,2.82,2.82,3718857,1,0,1,0
11,multithreading,download,10,5,1,16.39,4.1,2558525,4,1,4,1
12,multithreading,download,10,50,1,201.41,4.2,2498913,48,2,48,2
13,multithreading,download,50,1,1,14.42,14.42,3636286,1,0,1,0
14,multithreading,download,50,5,1,76.1,19.02,2755870,4,1,4,1
15,multithreading,download,50,50,1,1081.74,22.54,2326414,48,2,48,2
16,multithreading,download,100,1,1,26.7,26.7,3927496,1,0,1,0
17,multithreading,download,100,5,1,151.04,37.76,2776958,4,1,4,1
18,multithreading,download,100,50,1,2198.74,45.81,2289115,48,2,48,2
19,multithreading,upload,10,1,5,1.78,1.78,5887727,1,0,1,0
20,multithreading,upload,10,5,5,10.95,2.74,3831223,4,1,4,1
21,multithreading,upload,10,50,5,129.31,2.69,3892249,48,2,48,2
22,multithreading,upload,50,1,5,9.64,9.64,5435933,1,0,1,0
23,multithreading,upload,50,5,5,55.71,13.93,3764354,4,1,4,1
24,multithreading,upload,50,50,5,676.39,14.09,3720584,48,2,48,2
25,multithreading,upload,100,1,5,19.59,19.59,5353215,1,0,1,0
26,multithreading,upload,100,5,5,107.24,26.81,3910987,4,1,4,1
27,multithreading,upload,100,50,5,1344.83,28.02,3742612,48,2,48,2
28,multithreading,download,10,1,5,1.36,1.36,7735240,1,0,1,0
29,multithreading,download,10,5,5,7.62,1.9,5505997,4,1,4,1
30,multithreading,download,10,50,5,93.24,1.94,5397947,48,2,48,2
31,multithreading,download,50,1,5,7.1,7.1,7380612,1,0,1,0
32,multithreading,download,50,5,5,43.48,10.87,4823163,4,1,4,1
33,multithreading,download,50,50,5,532.69,11.1,4724255,48,2,48,2
34,multithreading,download,100,1,5,14.92,14.92,7028170,1,0,1,0
35,multithreading,download,100,5,5,81.02,20.26,5176726,4,1,4,1
36,multithreading,download,100,50,5,930.32,19.38,5410125,48,2,48,2
37,multithreading,upload,10,1,50,1.64,1.64,6382691,1,0,1,0
38,multithreading,upload,10,5,50,9.21,2.3,4555616,4,1,4,1
39,multithreading,upload,10,50,50,114.39,2.38,4399866,48,2,48,2
40,multithreading,upload,50,1,50,7.8,7.8,6721650,1,0,1,0
